Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
420,9.992098237,10.12473206,11.5072857,11.41643746,10.58981686
423,9.961751204,10.09354101,11.47871647,11.38548017,10.56905251
426,9.929026691,10.06229017,11.44938572,11.36057653,10.55384794
429,9.897156017,10.03238488,11.41999661,11.32711308,10.54255305
432,9.865159109,9.997752998,11.39388687,11.29812348,10.52948016
435,9.839233954,9.965365522,11.36450617,11.27032448,10.51161659
438,9.805655298,9.932487853,11.33340586,11.24196153,10.49486082
441,9.775415767,9.905477672,11.30518769,11.21174543,10.47733021
444,9.746252601,9.872693151,11.27727506,11.18576555,10.46789726
447,9.713800886,9.84161333,11.25250691,11.15667727,10.45995685
450,9.682320262,9.812659498,11.2212906,11.12974753,10.43998751
453,9.655303111,9.780971109,11.19461089,11.10478985,10.42739783
456,9.624066163,9.749663076,11.16898385,11.07730156,10.41002793
459,9.594567777,9.719461203,11.14031335,11.04662973,10.39221665
462,9.565157536,9.690927689,11.11261094,11.02265146,10.37754966
465,9.535794526,9.663213897,11.08534262,10.99127232,10.3618395
468,9.510491376,9.633696429,11.0579894,10.96508075,10.34885734
471,9.481063279,9.606310708,11.03210339,10.94158404,10.33330223
474,9.450443064,9.578315641,11.00522065,10.91368339,10.31787374
477,9.423923638,9.547090376,10.97914598,10.88834702,10.30757253
480,9.395637407,9.519364807,10.95196976,10.86250633,10.29283411
483,9.370385318,9.490951893,10.926039,10.83552251,10.28011279
486,9.341290713,9.466069471,10.90086524,10.80701262,10.26158109
489,9.315197581,9.434884458,10.87669186,10.78860021,10.2488257
492,9.288222179,9.409066673,10.85065184,10.75883781,10.23356838
495,9.261918863,9.383675185,10.82535407,10.7323097,10.22197332
498,9.234518913,9.350902604,10.80082169,10.71199452,10.20580505
501,9.209700797,9.330646077,10.77788821,10.68449561,10.19513117
504,9.18602466,9.302722725,10.74963651,10.65877352,10.18093141
507,9.157145026,9.276475312,10.72625935,10.63743399,10.16805771
510,9.131517651,9.251654463,10.70360488,10.61081137,10.15411627
513,9.106521274,9.227253897,10.67719028,10.58794489,10.14498411
516,9.084130966,9.200088325,10.65352684,10.5638254,10.12961142
519,9.056139996,9.174343283,10.6290005,10.54242547,10.11997822
522,9.030772253,9.151958686,10.60801062,10.52031229,10.10720542
525,9.003664612,9.125201069,10.58268064,10.4911233,10.09628438
528,8.981826159,9.102589395,10.55832279,10.47027467,10.08204041
531,8.957321362,9.075794864,10.53479854,10.44766407,10.07253042
534,8.932277197,9.052090925,10.51003087,10.42869184,10.05791466
537,8.911111852,9.027694955,10.48772949,10.40045588,10.04341266
540,8.883921862,9.003874445,10.46646641,10.37634843,10.03033319
543,8.861470363,8.97689347,10.44024472,10.35546567,10.016441
546,8.838365829,8.95571898,10.41667382,10.3322465,10.00179215
549,8.816879628,8.931458744,10.39889983,10.31190929,9.988585464
552,8.790506431,8.90947263,10.3741993,10.28710409,9.976817701
555,8.770998107,8.884487365,10.35197727,10.26593797,9.9613351
558,8.746203613,8.861622783,10.33187944,10.24345082,9.949138578
561,8.722828483,8.839119205,10.30848707,10.22188515,9.938319801
564,8.701685063,8.814189045,10.28463274,10.20063026,9.926267144
567,8.677948098,8.792557511,10.2617983,10.1779017,9.914987707
570,8.657853689,8.769654056,10.24288648,10.15881488,9.902679796
573,8.635407111,8.750541558,10.22036028,10.13621894,9.887178488
576,8.612882913,8.727033883,10.19684437,10.11512656,9.878271981
579,8.590852299,8.707249098,10.17543602,10.09579059,9.862413592
582,8.568721056,8.680764386,10.15747239,10.07283732,9.853086292
585,8.547164322,8.65952282,10.13650025,10.05186931,9.844795825
588,8.526414374,8.638212484,10.11553548,10.03417074,9.827905687
591,8.503488888,8.617109465,10.09375264,10.01386347,9.813990801
594,8.484390623,8.598607484,10.07257643,9.991142527,9.804930002
597,8.465180819,8.576764286,10.05173965,9.96791855,9.792276729
600,8.443207388,8.552333236,10.02965263,9.950572506,9.783499004
603,8.423201719,8.532888439,10.00932026,9.932698712,9.772122166
606,8.403691764,8.512921594,9.988467406,9.906403528,9.763806046
609,8.383200806,8.493482973,9.970070179,9.891202162,9.757383579
612,8.364321803,8.471583085,9.950342825,9.872423281,9.74201127
615,8.344921899,8.452149191,9.929881165,9.850768263,9.732435961
618,8.32666386,8.432662136,9.911825826,9.830360689,9.719402718
621,8.307792564,8.411298256,9.889399796,9.812183918,9.707652096
