Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
393,11.32833902,11.33002523,12.77450411,12.68317244,11.59839686
396,11.29012607,11.29181226,12.73750486,12.64623695,11.61287148
399,11.24888404,11.24990091,12.70355274,12.61759234,11.53926722
402,11.21360851,11.21381928,12.66657809,12.57822888,11.5381736
405,11.17542171,11.17587837,12.63016653,12.54747618,11.53437658
408,11.13664724,11.13457473,12.59661065,12.51269122,11.51045825
411,11.09698667,11.09621388,12.56030789,12.47916545,11.48691873
414,11.06352129,11.0557232,12.52686164,12.44888279,11.47266191
417,11.0271147,11.02237266,12.49233853,12.4144602,11.44689404
420,10.99071575,10.98541175,12.45786399,12.38150309,11.40941458
423,10.95239515,10.94673252,12.42263945,12.34912569,11.39320623
426,10.91854112,10.90747672,12.38860266,12.31515991,11.36634611
429,10.88242319,10.87055106,12.35499728,12.28225814,11.35242469
432,10.84745317,10.83730224,12.32429988,12.25215872,11.31622053
435,10.81349916,10.80232974,12.29071759,12.21773382,11.29852655
438,10.77553159,10.7633437,12.25916501,12.18864155,11.27601057
441,10.74117667,10.7269869,12.22500422,12.15497348,11.25287994
444,10.70631984,10.69072531,12.18760221,12.12464242,11.22766171
447,10.67302316,10.65450425,12.16011398,12.09626877,11.20481101
450,10.63993017,10.6231418,12.12729747,12.0606419,11.19044554
453,10.60630497,10.5877958,12.09783891,12.03339752,11.16633448
456,10.57123219,10.55325003,12.06384053,12.00192959,11.14611503
459,10.53790144,10.51574004,12.03165511,11.97199345,11.13308238
462,10.50472878,10.48348075,12.00370219,11.94070316,11.11254927
465,10.47380051,10.44970792,11.97047719,11.91127337,11.08892589
468,10.44110448,10.4140972,11.94134932,11.88073878,11.06802037
471,10.4076525,10.38078596,11.91030333,11.84955467,11.04962964
474,10.37613158,10.3475,11.87574121,11.81949038,11.02526289
477,10.34610764,10.31548387,11.84402645,11.78686268,11.01031141
480,10.31332821,10.2828452,11.8192087,11.75986702,10.98138968
483,10.27931009,10.25065356,11.78696591,11.72674651,10.95902589
486,10.24540652,10.21804962,11.75726415,11.70157744,10.9361101
489,10.21356955,10.18554568,11.72453446,11.67446956,10.91617582
492,10.18297184,10.15112044,11.6960669,11.64470437,10.89979765
495,10.1517285,10.1214928,11.66765189,11.61692036,10.8819257
498,10.12216927,10.09108732,11.63625067,11.58755726,10.85857526
501,10.09045669,10.05723665,11.60948183,11.56015642,10.84617812
504,10.05920332,10.03044329,11.58211464,11.52906566,10.81632301
507,10.03071054,9.997807142,11.55420474,11.5005239,10.79555032
510,10.00261379,9.967919756,11.52293485,11.47420791,10.77665028
513,9.973702458,9.936936938,11.49657539,11.44770831,10.76220334
516,9.944522976,9.906844819,11.46590624,11.41999058,10.73915566
