Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
297,11.81458982,12.03253551,13.30904624,13.30426585,11.63505784
300,11.76599279,11.98495445,13.26559578,13.26352196,11.62534933
303,11.7183712,11.93806757,13.23050095,13.22098449,11.59471275
306,11.66968874,11.89208731,13.1875625,13.17726394,11.56777153
309,11.62364316,11.84421173,13.146839,13.13597819,11.5504649
312,11.57744418,11.80053936,13.10740068,13.09204109,11.51382084
315,11.52960277,11.75006146,13.06112042,13.05264991,11.48734171
318,11.48538498,11.70875691,13.02679446,13.01115407,11.45742262
321,11.44228777,11.66280931,12.99021308,12.97035527,11.43719385
324,11.3955217,11.62088829,12.95017254,12.93143965,11.41919942
327,11.3503755,11.57345567,12.9105246,12.89080785,11.39685225
330,11.30689242,11.53211277,12.87563227,12.84941384,11.38242088
333,11.26434685,11.48489193,12.83471869,12.81222593,11.35136172
336,11.2209749,11.44390605,12.79751226,12.77273536,11.32586944
339,11.1790666,11.39595272,12.76198144,12.73231977,11.3135737
342,11.13776767,11.35482654,12.72227793,12.69346009,11.29173435
345,11.09444214,11.31318472,12.68961787,12.65858624,11.27162711
348,11.05067845,11.2679427,12.65177206,12.61606679,11.24475961
351,11.01027587,11.22395423,12.61451162,12.57652613,11.22279858
354,10.97018971,11.18404133,12.58027637,12.54278323,11.20649169
357,10.93018849,11.14168413,12.54338436,12.50529061,11.19855592
360,10.88815819,11.10035367,12.50586488,12.46812297,11.16899071
363,10.84930236,11.05823579,12.46706983,12.43516174,11.12757632
366,10.8078468,11.0168055,12.43387931,12.39501374,11.12397693
369,10.76643191,10.97426404,12.40010526,12.35958848,11.10107006
372,10.72880768,10.93554871,12.36699668,12.32444218,11.08638001
375,10.69188738,10.89627293,12.3328006,12.29080873,11.05409277
378,10.65477267,10.85367636,12.29492824,12.254483,11.03959501
381,10.61491364,10.81346366,12.26218243,12.22054288,11.02734037
384,10.57391442,10.77397239,12.23237278,12.18430328,11.00895731
387,10.5400888,10.73666756,12.19136226,12.15221838,10.99149592
390,10.50058359,10.69814354,12.15904146,12.11698152,10.9741849
393,10.46391988,10.65866799,12.12840428,12.08522031,10.94678939
396,10.42766201,10.62184605,12.09399049,12.05119347,10.93208772
399,10.38953308,10.58209946,12.06041168,12.01708801,10.90586972
402,10.35485104,10.54776648,12.02957605,11.98523386,10.8891622
405,10.31986883,10.50916472,11.99331066,11.94939422,10.85923568
408,10.28441565,10.47219946,11.95956411,11.91806881,10.85721359
411,10.24606169,10.43542381,11.92986458,11.88397775,10.8293851
414,10.21149442,10.39800997,11.89862211,11.85108434,10.80447472
417,10.17740395,10.36353141,11.86374256,11.81954304,10.79208504
420,10.14432057,10.32475676,11.83826528,11.78682849,10.77241224
423,10.10930641,10.29079447,11.80625685,11.75654205,10.75906333
426,10.07278682,10.25620433,11.77147469,11.72868174,10.72534622
429,10.04191991,10.2211569,11.74407226,11.69130177,10.72007866
432,10.00847388,10.18398649,11.71131057,11.65945409,10.71370505
435,9.975249853,10.1521302,11.67884177,11.6316233,10.68918412
438,9.939891998,10.11877229,11.64993183,11.6018003,10.66091408
441,9.908391654,10.08375856,11.62034711,11.57003784,10.64893466
444,9.877456629,10.0504692,11.59016974,11.54235525,10.64092779
447,9.843461136,10.01664742,11.56219849,11.51463034,10.62694181
450,9.810240403,9.983706178,11.5287176,11.48090394,10.61005165
453,9.7798145,9.952014374,11.50357907,11.44873968,10.58477692
456,9.749943733,9.915645801,11.47031082,11.42200624,10.56883293
459,9.720412646,9.883093492,11.44267325,11.39254227,10.54935048
462,9.687459441,9.854844122,11.41693427,11.36044515,10.53102813
